days,x,y,z,popval,m1,m2,m3,m4
1,2,0,3,1,0.819476429,0.819476429,0.819476429,0.819476429
1,2,1,0,1,0.884912931,0.884912931,0.884912931,0.884912931
1,2,1,1,1,0.875720023,0.875720023,0.875720023,0.875720023
1,2,1,2,1,0.841726707,0.841726707,0.841726707,0.841726707
1,2,1,3,1,0.884430879,0.884430879,0.884430879,0.884430879
1,2,2,0,1,0.803571168,0.803571168,0.803571168,0.803571168
1,2,2,1,1,0.828583902,0.828583902,0.828583902,0.828583902
1,2,2,2,1,0.823995253,0.823995253,0.823995253,0.823995253
1,2,2,3,1,0.823048816,0.823048816,0.823048816,0.823048816
1,2,3,0,1,0.86557407,0.86557407,0.86557407,0.86557407
1,2,3,1,1,0.891719366,0.891719366,0.891719366,0.891719366
1,2,3,2,1,0.818390779,0.818390779,0.818390779,0.818390779
1,2,3,3,1,0.847092335,0.847092335,0.847092335,0.847092335
1,2,4,0,1,0.895949243,0.895949243,0.895949243,0.895949243
1,2,4,1,1,0.854972361,0.854972361,0.854972361,0.854972361
1,2,4,2,1,0.812331893,0.812331893,0.812331893,0.812331893
1,2,4,3,1,0.830124633,0.830124633,0.830124633,0.830124633
1,2,5,0,1,0.879220733,0.879220733,0.879220733,0.879220733
1,2,5,1,1,0.858526409,0.858526409,0.858526409,0.858526409
1,2,5,2,1,0.823991615,0.823991615,0.823991615,0.823991615
1,2,5,3,1,0.820774229,0.820774229,0.820774229,0.820774229
1,2,6,0,1,0.891573553,0.891573553,0.891573553,0.891573553
1,2,6,1,1,0.883082863,0.883082863,0.883082863,0.883082863
1,2,6,2,1,0.807596669,0.807596669,0.807596669,0.807596669
1,2,6,3,1,0.85870447,0.85870447,0.85870447,0.85870447
1,2,7,0,1,0.842176128,0.842176128,0.842176128,0.842176128
1,2,7,1,1,0.835165951,0.835165951,0.835165951,0.835165951
1,2,7,2,1,0.840180803,0.840180803,0.840180803,0.840180803
1,2,7,3,1,0.862247509,0.862247509,0.862247509,0.862247509
1,3,0,0,1,0.803183285,0.803183285,0.803183285,0.803183285
1,3,0,1,1,0.812990621,0.812990621,0.812990621,0.812990621
1,3,0,2,1,0.811120276,0.811120276,0.811120276,0.811120276
1,3,0,3,1,0.818481632,0.818481632,0.818481632,0.818481632
1,3,1,0,1,0.870604609,0.870604609,0.870604609,0.870604609
1,3,1,1,1,0.893401068,0.893401068,0.893401068,0.893401068
1,3,1,2,1,0.836924678,0.836924678,0.836924678,0.836924678
1,3,1,3,1,0.843020739,0.843020739,0.843020739,0.843020739
1,3,2,0,1,0.817118669,0.817118669,0.817118669,0.817118669
1,3,2,1,1,0.877916723,0.877916723,0.877916723,0.877916723
1,3,2,2,1,0.890005385,0.890005385,0.890005385,0.890005385
1,3,2,3,1,0.892337964,0.892337964,0.892337964,0.892337964
1,3,3,0,1,0.865547789,0.865547789,0.865547789,0.865547789
1,3,3,1,1,0.853079755,0.853079755,0.853079755,0.853079755
1,3,3,2,1,0.833771941,0.833771941,0.833771941,0.833771941
1,3,3,3,1,0.831110229,0.831110229,0.831110229,0.831110229
1,3,4,0,1,0.839222702,0.839222702,0.839222702,0.839222702
1,3,4,1,1,0.805395012,0.805395012,0.805395012,0.805395012
1,3,4,2,1,0.848925264,0.848925264,0.848925264,0.848925264
1,3,4,3,1,0.843569868,0.843569868,0.843569868,0.843569868
1,3,5,0,1,0.874313247,0.874313247,0.874313247,0.874313247
1,3,5,1,1,0.807585429,0.807585429,0.807585429,0.807585429
1,3,5,2,1,0.849086409,0.849086409,0.849086409,0.849086409
1,3,5,3,1,0.82276643,0.82276643,0.82276643,0.82276643
1,3,6,0,1,0.875774013,0.875774013,0.875774013,0.875774013
1,3,6,1,1,0.856782164,0.856782164,0.856782164,0.856782164
1,3,6,2,1,0.894478719,0.894478719,0.894478719,0.894478719
1,3,6,3,1,0.817070805,0.817070805,0.817070805,0.817070805
1,3,7,0,1,0.867873515,0.867873515,0.867873515,0.867873515
1,3,7,1,1,0.838044585,0.838044585,0.838044585,0.838044585
1,3,7,2,1,0.890271611,0.890271611,0.890271611,0.890271611
1,3,7,3,1,0.822592178,0.822592178,0.822592178,0.822592178
1,4,0,0,1,0.803444608,0.803444608,0.803444608,0.803444608
1,4,0,1,1,0.852853314,0.852853314,0.852853314,0.852853314
1,4,0,2,1,0.895613454,0.895613454,0.895613454,0.895613454
1,4,0,3,1,0.826221175,0.826221175,0.826221175,0.826221175
1,4,1,0,1,0.895022205,0.895022205,0.895022205,0.895022205
1,4,1,1,1,0.831121504,0.831121504,0.831121504,0.831121504
1,4,1,2,1,0.894205059,0.894205059,0.894205059,0.894205059
1,4,1,3,1,0.859489607,0.859489607,0.859489607,0.859489607
1,4,2,0,1,0.831709948,0.831709948,0.831709948,0.831709948
1,4,2,1,1,0.879428454,0.879428454,0.879428454,0.879428454
1,4,2,2,1,0.813197329,0.813197329,0.813197329,0.813197329
1,4,2,3,1,0.840871985,0.840871985,0.840871985,0.840871985
1,4,3,0,1,0.869482862,0.869482862,0.869482862,0.869482862
1,4,3,1,1,0.816218231,0.816218231,0.816218231,0.816218231
1,4,3,2,1,0.809645453,0.809645453,0.809645453,0.809645453
1,4,3,3,1,0.82580647,0.82580647,0.82580647,0.82580647
1,4,4,0,1,0.882345783,0.882345783,0.882345783,0.882345783
1,4,4,1,1,0.833712264,0.833712264,0.833712264,0.833712264
1,4,4,2,1,0.840391215,0.840391215,0.840391215,0.840391215
1,4,4,3,1,0.811111922,0.811111922,0.811111922,0.811111922
1,4,5,0,1,0.809713178,0.809713178,0.809713178,0.809713178
1,4,5,1,1,0.801190207,0.801190207,0.801190207,0.801190207
